,Filial,Servico,CEP
33365,J3 FLEX SP,AVULSO,01029-903
33366,J3 FLEX SP,AVULSO,01030-000
33367,J3 FLEX SP,AVULSO,01030-001
33368,J3 FLEX SP,AVULSO,01030-010
33369,J3 FLEX SP,AVULSO,01030-020
33370,J3 FLEX SP,AVULSO,01030-900
33371,J3 FLEX SP,AVULSO,01030-901
33372,J3 FLEX SP,AVULSO,01030-902
33373,J3 FLEX SP,AVULSO,01031-000
33374,J3 FLEX SP,AVULSO,01031-001
33375,J3 FLEX SP,AVULSO,01031-005
33376,J3 FLEX SP,AVULSO,01031-010
33377,J3 FLEX SP,AVULSO,01031-020
33378,J3 FLEX SP,AVULSO,01031-030
33379,J3 FLEX SP,AVULSO,01031-900
33380,J3 FLEX SP,AVULSO,01031-901
33381,J3 FLEX SP,AVULSO,01031-902
33382,J3 FLEX SP,AVULSO,01031-903
33383,J3 FLEX SP,AVULSO,01031-904
33384,J3 FLEX SP,AVULSO,01031-905
33385,J3 FLEX SP,AVULSO,01031-906
33386,J3 FLEX SP,AVULSO,01032-000
33387,J3 FLEX SP,AVULSO,01032-001
33388,J3 FLEX SP,AVULSO,01032-010
33389,J3 FLEX SP,AVULSO,01032-020
33390,J3 FLEX SP,AVULSO,01032-030
33391,J3 FLEX SP,AVULSO,01032-901
33392,J3 FLEX SP,AVULSO,01032-902
33393,J3 FLEX SP,AVULSO,01032-903
33394,J3 FLEX SP,AVULSO,01032-905
33395,J3 FLEX SP,AVULSO,01033-000
33396,J3 FLEX SP,AVULSO,01033-001
33397,J3 FLEX SP,AVULSO,01033-010
33398,J3 FLEX SP,AVULSO,01033-020
33399,J3 FLEX SP,AVULSO,01033-030
33400,J3 FLEX SP,AVULSO,01033-040
33401,J3 FLEX SP,AVULSO,01033-050
33402,J3 FLEX SP,AVULSO,01033-900
33403,J3 FLEX SP,AVULSO,01033-901
33404,J3 FLEX SP,AVULSO,01033-902
33405,J3 FLEX SP,AVULSO,01033-903
33406,J3 FLEX SP,AVULSO,01033-904
33407,J3 FLEX SP,AVULSO,01033-905
33408,J3 FLEX SP,AVULSO,01033-906
33409,J3 FLEX SP,AVULSO,01033-907
33410,J3 FLEX SP,AVULSO,01034-000
33411,J3 FLEX SP,AVULSO,01034-001
33412,J3 FLEX SP,AVULSO,01034-010
33413,J3 FLEX SP,AVULSO,01034-020
33414,J3 FLEX SP,AVULSO,01034-030
33415,J3 FLEX SP,AVULSO,01034-040
33416,J3 FLEX SP,AVULSO,01034-900
33417,J3 FLEX SP,AVULSO,01034-901
33418,J3 FLEX SP,AVULSO,01034-902
33419,J3 FLEX SP,AVULSO,01034-903
33420,J3 FLEX SP,AVULSO,01034-904
33421,J3 FLEX SP,AVULSO,01035-000
33422,J3 FLEX SP,AVULSO,01035-100
33423,J3 FLEX SP,AVULSO,01035-901
33424,J3 FLEX SP,AVULSO,01035-902
33425,J3 FLEX SP,AVULSO,01035-903
33426,J3 FLEX SP,AVULSO,01035-904
33427,J3 FLEX SP,AVULSO,01035-905
33428,J3 FLEX SP,AVULSO,01036-000
33429,J3 FLEX SP,AVULSO,01036-100
33430,J3 FLEX SP,AVULSO,01036-900
33431,J3 FLEX SP,AVULSO,01036-901
33432,J3 FLEX SP,AVULSO,01036-902
33433,J3 FLEX SP,AVULSO,01036-903
33434,J3 FLEX SP,AVULSO,01037-000
33435,J3 FLEX SP,AVULSO,01037-001
33436,J3 FLEX SP,AVULSO,01037-010
33437,J3 FLEX SP,AVULSO,01037-900
33438,J3 FLEX SP,AVULSO,01037-901
33439,J3 FLEX SP,AVULSO,01037-902
33440,J3 FLEX SP,AVULSO,01037-903
33441,J3 FLEX SP,AVULSO,01037-904
33442,J3 FLEX SP,AVULSO,01037-905
33443,J3 FLEX SP,AVULSO,01037-906
33444,J3 FLEX SP,AVULSO,01037-907
33445,J3 FLEX SP,AVULSO,01037-908
33446,J3 FLEX SP,AVULSO,01037-909
33447,J3 FLEX SP,AVULSO,01037-910
33448,J3 FLEX SP,AVULSO,01037-911
33449,J3 FLEX SP,AVULSO,01037-912
33450,J3 FLEX SP,AVULSO,01038-000
33451,J3 FLEX SP,AVULSO,01038-100
33452,J3 FLEX SP,AVULSO,01038-900
33453,J3 FLEX SP,AVULSO,01038-901
33454,J3 FLEX SP,AVULSO,01038-902
33455,J3 FLEX SP,AVULSO,01038-903
33456,J3 FLEX SP,AVULSO,01038-904
33457,J3 FLEX SP,AVULSO,01039-000
33458,J3 FLEX SP,AVULSO,01039-900
33459,J3 FLEX SP,AVULSO,01039-901
33460,J3 FLEX SP,AVULSO,01039-902
33461,J3 FLEX SP,AVULSO,01039-903
33462,J3 FLEX SP,AVULSO,01039-904
33463,J3 FLEX SP,AVULSO,01039-905
33464,J3 FLEX SP,AVULSO,01039-906
33465,J3 FLEX SP,AVULSO,01039-907
33466,J3 FLEX SP,AVULSO,01039-908
33467,J3 FLEX SP,AVULSO,01040-000
33468,J3 FLEX SP,AVULSO,01040-010
33469,J3 FLEX SP,AVULSO,01040-901
33470,J3 FLEX SP,AVULSO,01040-902
33471,J3 FLEX SP,AVULSO,01040-903
33472,J3 FLEX SP,AVULSO,01040-904
33473,J3 FLEX SP,AVULSO,01040-905
33474,J3 FLEX SP,AVULSO,01040-906
33475,J3 FLEX SP,AVULSO,01041-000
33476,J3 FLEX SP,AVULSO,01041-001
33477,J3 FLEX SP,AVULSO,01041-900
33478,J3 FLEX SP,AVULSO,01041-901
33479,J3 FLEX SP,AVULSO,01041-903
33480,J3 FLEX SP,AVULSO,01041-904
33481,J3 FLEX SP,AVULSO,01041-905
33482,J3 FLEX SP,AVULSO,01041-906
33483,J3 FLEX SP,AVULSO,01041-907
33484,J3 FLEX SP,AVULSO,01041-911
33485,J3 FLEX SP,AVULSO,01042-000
33486,J3 FLEX SP,AVULSO,01042-001
33487,J3 FLEX SP,AVULSO,01042-010
33488,J3 FLEX SP,AVULSO,01042-020
33489,J3 FLEX SP,AVULSO,01042-030
33490,J3 FLEX SP,AVULSO,01042-901
33491,J3 FLEX SP,AVULSO,01042-902
33492,J3 FLEX SP,AVULSO,01042-903
33493,J3 FLEX SP,AVULSO,01042-904
33494,J3 FLEX SP,AVULSO,01042-905
33495,J3 FLEX SP,AVULSO,01042-906
33496,J3 FLEX SP,AVULSO,01042-907
33497,J3 FLEX SP,AVULSO,01042-908
33498,J3 FLEX SP,AVULSO,01042-909
33499,J3 FLEX SP,AVULSO,01042-910
33500,J3 FLEX SP,AVULSO,01042-911
33501,J3 FLEX SP,AVULSO,01042-912
33502,J3 FLEX SP,AVULSO,01042-913
33503,J3 FLEX SP,AVULSO,01042-914
33504,J3 FLEX SP,AVULSO,01042-915
33505,J3 FLEX SP,AVULSO,01042-916
33506,J3 FLEX SP,AVULSO,01042-917
33507,J3 FLEX SP,AVULSO,01043-000
33508,J3 FLEX SP,AVULSO,01043-010
33509,J3 FLEX SP,AVULSO,01043-900
33510,J3 FLEX SP,AVULSO,01043-901
33511,J3 FLEX SP,AVULSO,01043-902
33512,J3 FLEX SP,AVULSO,01043-903
33513,J3 FLEX SP,AVULSO,01043-904
33514,J3 FLEX SP,AVULSO,01043-905
33515,J3 FLEX SP,AVULSO,01043-906
33516,J3 FLEX SP,AVULSO,01043-907
33517,J3 FLEX SP,AVULSO,01043-908
33518,J3 FLEX SP,AVULSO,01043-909
33519,J3 FLEX SP,AVULSO,01044-000
33520,J3 FLEX SP,AVULSO,01044-901
33521,J3 FLEX SP,AVULSO,01044-902
33522,J3 FLEX SP,AVULSO,01044-903
33523,J3 FLEX SP,AVULSO,01044-904
33524,J3 FLEX SP,AVULSO,01044-905
33525,J3 FLEX SP,AVULSO,01044-906
33526,J3 FLEX SP,AVULSO,01044-907
33527,J3 FLEX SP,AVULSO,01044-908
33528,J3 FLEX SP,AVULSO,01044-909
33529,J3 FLEX SP,AVULSO,01045-000
33530,J3 FLEX SP,AVULSO,01045-001
33531,J3 FLEX SP,AVULSO,01045-010
33532,J3 FLEX SP,AVULSO,01045-020
33533,J3 FLEX SP,AVULSO,01045-900
33534,J3 FLEX SP,AVULSO,01045-901
33535,J3 FLEX SP,AVULSO,01045-902
33536,J3 FLEX SP,AVULSO,01045-903
33537,J3 FLEX SP,AVULSO,01045-904
33538,J3 FLEX SP,AVULSO,01045-905
33539,J3 FLEX SP,AVULSO,01045-906
33540,J3 FLEX SP,AVULSO,01045-907
33541,J3 FLEX SP,AVULSO,01045-908
33542,J3 FLEX SP,AVULSO,01045-909
33543,J3 FLEX SP,AVULSO,01045-910
33544,J3 FLEX SP,AVULSO,01045-911
33545,J3 FLEX SP,AVULSO,01045-912
33546,J3 FLEX SP,AVULSO,01046-000
33547,J3 FLEX SP,AVULSO,01046-001
33548,J3 FLEX SP,AVULSO,01046-010
33549,J3 FLEX SP,AVULSO,01046-020
33550,J3 FLEX SP,AVULSO,01046-030
33551,J3 FLEX SP,AVULSO,01046-904
33552,J3 FLEX SP,AVULSO,01046-905
33553,J3 FLEX SP,AVULSO,01046-906
33554,J3 FLEX SP,AVULSO,01046-910
33555,J3 FLEX SP,AVULSO,01046-911
33556,J3 FLEX SP,AVULSO,01046-912
33557,J3 FLEX SP,AVULSO,01046-913
33558,J3 FLEX SP,AVULSO,01046-914
33559,J3 FLEX SP,AVULSO,01046-915
33560,J3 FLEX SP,AVULSO,01046-916
33561,J3 FLEX SP,AVULSO,01046-917
33562,J3 FLEX SP,AVULSO,01046-918
33563,J3 FLEX SP,AVULSO,01046-919
33564,J3 FLEX SP,AVULSO,01046-920
33565,J3 FLEX SP,AVULSO,01046-921
33566,J3 FLEX SP,AVULSO,01046-922
33567,J3 FLEX SP,AVULSO,01046-923
33568,J3 FLEX SP,AVULSO,01046-924
33569,J3 FLEX SP,AVULSO,01046-925
33570,J3 FLEX SP,AVULSO,01046-926
33571,J3 FLEX SP,AVULSO,01046-927
33572,J3 FLEX SP,AVULSO,01047-000
33573,J3 FLEX SP,AVULSO,01047-010
33574,J3 FLEX SP,AVULSO,01047-020
33575,J3 FLEX SP,AVULSO,01047-904
33576,J3 FLEX SP,AVULSO,01047-905
33577,J3 FLEX SP,AVULSO,01047-906
33578,J3 FLEX SP,AVULSO,01047-907
33579,J3 FLEX SP,AVULSO,01047-908
33580,J3 FLEX SP,AVULSO,01047-909
33581,J3 FLEX SP,AVULSO,01047-910
33582,J3 FLEX SP,AVULSO,01047-911
33583,J3 FLEX SP,AVULSO,01047-912
33584,J3 FLEX SP,AVULSO,01048-000
33585,J3 FLEX SP,AVULSO,01048-100
33586,J3 FLEX SP,AVULSO,01048-900
33587,J3 FLEX SP,AVULSO,01048-901
33588,J3 FLEX SP,AVULSO,01048-902
33589,J3 FLEX SP,AVULSO,01048-903
33590,J3 FLEX SP,AVULSO,01048-904
33591,J3 FLEX SP,AVULSO,01048-905
33592,J3 FLEX SP,AVULSO,01049-000
33593,J3 FLEX SP,AVULSO,01049-010
33594,J3 FLEX SP,AVULSO,01049-020
33595,J3 FLEX SP,AVULSO,01049-030
33596,J3 FLEX SP,AVULSO,01049-901
33597,J3 FLEX SP,AVULSO,01049-902
33598,J3 FLEX SP,AVULSO,01049-903
33599,J3 FLEX SP,AVULSO,01049-904
33600,J3 FLEX SP,AVULSO,01049-905
33601,J3 FLEX SP,AVULSO,01049-906
33602,J3 FLEX SP,AVULSO,01049-907
33603,J3 FLEX SP,AVULSO,01049-908
33604,J3 FLEX SP,AVULSO,01049-909
33605,J3 FLEX SP,AVULSO,01049-910
33606,J3 FLEX SP,AVULSO,01049-911
33607,J3 FLEX SP,AVULSO,01050-000
33608,J3 FLEX SP,AVULSO,01050-020
33609,J3 FLEX SP,AVULSO,01050-030
33610,J3 FLEX SP,AVULSO,01050-050
33611,J3 FLEX SP,AVULSO,01050-060
33612,J3 FLEX SP,AVULSO,01050-070
33613,J3 FLEX SP,AVULSO,01050-901
33614,J3 FLEX SP,AVULSO,01050-903
33615,J3 FLEX SP,AVULSO,01050-904
33616,J3 FLEX SP,AVULSO,01050-905
33617,J3 FLEX SP,AVULSO,01050-906
33618,J3 FLEX SP,AVULSO,01050-907
33619,J3 FLEX SP,AVULSO,01101-000
33620,J3 FLEX SP,AVULSO,01101-010
33621,J3 FLEX SP,AVULSO,01101-020
33622,J3 FLEX SP,AVULSO,01101-040
33623,J3 FLEX SP,AVULSO,01101-050
33624,J3 FLEX SP,AVULSO,01101-080
33625,J3 FLEX SP,AVULSO,01102-000
